id,key,value,type
6354241,name,Pinebrook Way,regular
6354241,name_1,Pinebrook Road,regular
6354241,highway,residential,regular
6354241,cfcc,A41,tiger
6354241,county,"Alameda, CA",tiger
6354241,name_base,Pinebrook,tiger
6354241,name_type,Way,tiger
6354241,name_base_1,Pinebrook,tiger
6354241,name_type_1,Rd,tiger
6355243,name,Jutland Street,regular
6355243,highway,residential,regular
6355243,cfcc,A41,tiger
6355243,county,"Alameda, CA",tiger
6355243,reviewed,no,tiger
6355243,name_base,Jutland,tiger
6355243,name_type,St,tiger
6356819,name,Laird Avenue,regular
6356819,highway,residential,regular
6356819,cfcc,A41,tiger
6356819,county,"Alameda, CA",tiger
6356819,reviewed,no,tiger
6356819,name_base,Laird,tiger
6356819,name_type,Ave,tiger
6357899,name,Hilton Street,regular
6357899,highway,residential,regular
6357899,cfcc,A41,tiger
6357899,county,"Alameda, CA",tiger
6357899,reviewed,no,tiger
6357899,name_base,Hilton,tiger
6357899,name_type,St,tiger
6359001,name,Bonito Drive,regular
6359001,highway,residential,regular
6359001,cfcc,A41,tiger
6359001,county,"Alameda, CA",tiger
6359001,reviewed,no,tiger
6359001,name_base,Bonito,tiger
6359001,name_type,Dr,tiger
6360071,name,Sylvester Drive,regular
6360071,highway,residential,regular
6360071,cfcc,A41,tiger
6360071,county,"Alameda, CA",tiger
6360071,reviewed,no,tiger
6360071,name_base,Sylvester,tiger
6360071,name_type,Dr,tiger
6360979,name,Holiday Street,regular
6360979,highway,residential,regular
6360979,cfcc,A41,tiger
6360979,county,"Alameda, CA",tiger
6360979,reviewed,no,tiger
6360979,name_base,Holiday,tiger
6360979,name_type,St,tiger
6362119,name,Indian Trail,regular
6362119,highway,footway,regular
6362119,city,Berkeley,addr
6362119,cfcc,A41,tiger
6362119,wheelchair,no,regular
6362119,county,"Alameda, CA",tiger
6362119,name_base,Indian,tiger
6362119,name_type,Trl,tiger
6363052,name,Holman Road,regular
6363052,highway,residential,regular
6363052,cfcc,A41,tiger
6363052,county,"Alameda, CA",tiger
6363052,reviewed,no,tiger
6363052,name_base,Holman,tiger
6363052,name_type,Rd,tiger
6364061,name,Polonius Circle,regular
6364061,highway,residential,regular
6364061,cfcc,A41,tiger
6364061,county,"Alameda, CA",tiger
6364061,reviewed,no,tiger
6364061,name_base,Polonius,tiger
6364061,name_type,Cir,tiger
6365079,name,Pershing Drive,regular
6365079,highway,residential,regular
6365079,cfcc,A41,tiger
6365079,county,"Alameda, CA",tiger
6365079,name_base,Pershing,tiger
6365079,name_type,Dr,tiger
6366010,name,Anchor Way,regular
6366010,highway,residential,regular
6366010,cfcc,A41,tiger
6366010,county,"Alameda, CA",tiger
6366010,reviewed,no,tiger
6366010,name_base,Anchor,tiger
6366010,name_type,Way,tiger
6366887,name,Norfolk Road,regular
6366887,highway,residential,regular
6366887,cfcc,A41,tiger
6366887,county,"Alameda, CA",tiger
6366887,reviewed,no,tiger
6366887,name_base,Norfolk,tiger
6366887,name_type,Rd,tiger
6368141,name,Rubin Drive,regular
6368141,highway,residential,regular
6368141,cfcc,A41,tiger
6368141,county,"Alameda, CA",tiger
6368141,reviewed,no,tiger
6368141,name_base,Rubin,tiger
6368141,name_type,Dr,tiger
6369148,name,McClure Avenue,regular
6369148,access,private,regular
6369148,highway,residential,regular
6369148,cfcc,A41,tiger
6369148,county,"Alameda, CA",tiger
6369148,name_base,McClure,tiger
6369148,name_type,Ave,tiger
6370061,name,Via Morella,regular
6370061,highway,residential,regular
6370061,cfcc,A41,tiger
6370061,county,"Alameda, CA",tiger
6370061,reviewed,no,tiger
6370061,name_base,Via Morella,tiger
6371031,name,24th Avenue,regular
6371031,highway,residential,regular
6371031,cfcc,A41,tiger
6371031,county,"Alameda, CA",tiger
6371031,reviewed,no,tiger
6371031,name_base,24th,tiger
6371031,name_type,Ave,tiger
6371868,name,San Miguel Avenue,regular
6371868,highway,residential,regular
6371868,cfcc,A41,tiger
6371868,county,"Alameda, CA",tiger
6371868,reviewed,no,tiger
6371868,name_base,San Miguel,tiger
6371868,name_type,Ave,tiger
6372761,name,173rd Avenue,regular
6372761,highway,residential,regular
6372761,cfcc,A41,tiger
6372761,county,"Alameda, CA",tiger
6372761,reviewed,no,tiger
6372761,name_base,173rd,tiger
6372761,name_type,Ave,tiger
6373787,name,Stratton Court,regular
6373787,highway,residential,regular
6373787,cfcc,A41,tiger
6373787,county,"Alameda, CA",tiger
6373787,reviewed,no,tiger
6373787,name_base,Stratton,tiger
6373787,name_type,Ct,tiger
6375007,name,Ottawa Avenue,regular
6375007,highway,residential,regular
6375007,cfcc,A41,tiger
6375007,county,"Alameda, CA",tiger
6375007,reviewed,no,tiger
6375007,name_base,Ottawa,tiger
6375007,name_type,Ave,tiger
6375952,name,Courthouse Drive,regular
6375952,name_1,Flint Street,regular
6375952,highway,residential,regular
6375952,cfcc,A41,tiger
6375952,tlid,125023165:125036182,tiger
6375952,county,"Alameda, CA",tiger
6375952,source,tiger_import_dch_v0.6_20070809,tiger
6375952,reviewed,no,tiger
6375952,name_base,Courthouse,tiger
6375952,name_type,Dr,tiger
6375952,separated,no,tiger
6375952,name_base_1,Flint,tiger
6375952,name_type_1,St,tiger
6376849,name,Chestnut Street,regular
6376849,highway,residential,regular
6376849,cfcc,A41,tiger
6376849,county,"Alameda, CA",tiger
6376849,reviewed,yes,tiger
6376849,name_base,Chestnut,tiger
6376849,name_type,St,tiger
6377862,name,Atwell Avenue,regular
6377862,highway,residential,regular
6377862,cfcc,A41,tiger
6377862,county,"Alameda, CA",tiger
6377862,reviewed,no,tiger
6377862,name_base,Atwell,tiger
6377862,name_type,Ave,tiger
6379234,highway,tertiary,regular
6379234,name,Kesterson Street,regular
6379234,cfcc,A41,tiger
6379234,county,"Alameda, CA",tiger
6379234,name_base,Kesterson,tiger
6379234,name_type,St,tiger
6379234,reviewed,no,tiger
6380499,name,Courthouse Place,regular
6380499,highway,residential,regular
6380499,cfcc,A41,tiger
6380499,county,"Alameda, CA",tiger
6380499,reviewed,no,tiger
6380499,name_base,Courthouse,tiger
6380499,name_type,Pl,tiger
6381380,name,Mandela Parkway,regular
6381380,oneway,yes,regular
6381380,highway,secondary,regular
6381380,surface,asphalt,regular
6381380,cycleway,lane,regular
6381380,maxspeed,35 mph,regular
6381380,cfcc,A41,tiger
6381380,county,"Alameda, CA",tiger
6381380,reviewed,yes,tiger
6381380,name_base,Mandela,tiger
6381380,name_type,Pky,tiger
6381380,name_type_1,Pky,tiger
6382414,name,Herrier Street,regular
6382414,highway,residential,regular
6382414,cfcc,A41,tiger
6382414,county,"Alameda, CA",tiger
6382414,reviewed,no,tiger
6382414,name_base,Herrier,tiger
6382414,name_type,St,tiger
6383506,name,Nottingham Court,regular
6383506,highway,residential,regular
6383506,cfcc,A41,tiger
6383506,county,"Alameda, CA",tiger
6383506,reviewed,no,tiger
6383506,name_base,Nottingham,tiger
6383506,name_type,Ct,tiger
6384548,name,Greenland Terrace,regular
6384548,highway,residential,regular
6384548,cfcc,A41,tiger
6384548,county,"Alameda, CA",tiger
6384548,reviewed,no,tiger
6384548,name_base,Greenland,tiger
6384548,name_type,Ter,tiger
6385580,name,Via el Cerrito,regular
6385580,highway,residential,regular
6385580,cfcc,A41,tiger
6385580,county,"Alameda, CA",tiger
6385580,reviewed,no,tiger
6385580,name_base,Via el Cerrito,tiger
6386560,foot,yes,regular
6386560,name,Stannage Avenue,regular
6386560,lanes,1,regular
6386560,oneway,no,regular
6386560,bicycle,yes,regular
6386560,highway,residential,regular
6386560,surface,paved,regular
6386560,cycleway,no,regular
6386560,maxspeed,25 mph,regular
6386560,sidewalk,both,regular
6386560,cfcc,A41,tiger
6386560,county,"Alameda, CA",tiger
6386560,reviewed,yes,tiger
6386560,name_base,Stannage,tiger
6386560,name_type,Ave,tiger
6387826,name,Carolyn Street,regular
6387826,highway,residential,regular
6387826,cfcc,A41,tiger
6387826,county,"Alameda, CA",tiger
6387826,reviewed,no,tiger
6387826,name_base,Carolyn,tiger
6387826,name_type,St,tiger
6389906,name,Beaconsfield Place,regular
6389906,highway,residential,regular
6389906,cfcc,A41,tiger
6389906,county,"Alameda, CA",tiger
6389906,reviewed,no,tiger
6389906,name_base,Beaconsfield,tiger
6389906,name_type,Pl,tiger
6390729,name,Carmel Street,regular
6390729,highway,residential,regular
6390729,cfcc,A41,tiger
6390729,county,"Alameda, CA",tiger
6390729,name_base,Carmel,tiger
6390729,name_type,St,tiger
6392046,name,Biddle Avenue,regular
6392046,highway,residential,regular
6392046,cfcc,A41,tiger
6392046,county,"Alameda, CA",tiger
6392046,reviewed,no,tiger
6392046,name_base,Biddle,tiger
6392046,name_type,Ave,tiger
6393311,name,Silverleaf Drive,regular
6393311,highway,residential,regular
6393311,cfcc,A41,tiger
6393311,county,"Alameda, CA",tiger
6393311,reviewed,no,tiger
6393311,name_base,Silverleaf,tiger
6393311,name_type,Dr,tiger
6394244,name,Park Avenue East,regular
6394244,oneway,yes,regular
6394244,highway,residential,regular
6394244,sidewalk,both,regular
6394244,cfcc,A41,tiger
6394244,county,"Alameda, CA",tiger
6394244,reviewed,no,tiger
6394244,name_base,Park Avenue East,tiger
6395364,name,Francis Street,regular
6395364,highway,residential,regular
6395364,sidewalk,both,regular
6395364,cfcc,A41,tiger
6395364,county,"Alameda, CA",tiger
6395364,name_base,Francis,tiger
6395364,name_type,St,tiger
6396679,name,Lewis Avenue,regular
6396679,name_1,Lewis Street,regular
6396679,highway,residential,regular
6396679,cfcc,A41,tiger
6396679,county,"Alameda, CA",tiger
