id,node_id,position
6376849,53030321,0
6376849,53120672,1
6377862,53121781,0
6377862,53027532,1
6379234,53099230,0
6379234,53123446,1
6380499,53093993,0
6380499,4917214502,1
6380499,4917214503,2
6380499,53124904,3
6380499,4917214504,4
6380499,430203942,5
6381380,99537205,0
6381380,670180305,1
6381380,99537202,2
6381380,271792398,3
6381380,99537198,4
6381380,2177834802,5
6381380,53125900,6
6381380,2177834786,7
6381380,2177834770,8
6381380,53125899,9
6381380,2178247671,10
6381380,2177834710,11
6381380,53101587,12
6381380,2177834685,13
6381380,53032628,14
6381380,99537219,15
6381380,2177834626,16
6381380,271791142,17
6382414,53083431,0
6382414,256180395,1
6382414,53127089,2
6382414,256180396,3
6382414,256180397,4
6382414,256180398,5
6382414,53127090,6
6383506,53096980,0
6383506,53128448,1
6384548,53114874,0
6384548,53129683,1
6384548,53073658,2
6385580,53078568,0
6385580,53110859,1
6385580,53021250,2
6385580,53121148,3
6386560,53131916,0
6386560,53065143,1
6386560,53032385,2
6386560,53131919,3
6386560,53124696,4
6386560,2839029178,5
6386560,53062035,6
6386560,2839029164,7
6386560,4840996647,8
6386560,53056305,9
6386560,53131920,10
6386560,53131922,11
6386560,4221298008,12
6386560,53064865,13
6386560,4221298004,14
6386560,53027132,15
6386560,53107642,16
6386560,53060278,17
6386560,2267669613,18
6386560,4225206876,19
6386560,53019128,20
6386560,4225206873,21
6386560,2267669611,22
6386560,2267669609,23
6386560,53131928,24
6386560,2267669601,25
6386560,4225206830,26
6386560,53091848,27
6387826,53070014,0
6387826,441517783,1
6387826,4919460686,2
6387826,4919460685,3
